Date,Open,High,Low,Close,Volume,ticker
08/11/2023,"11,660.22","11,660.22","11,660.22","11,660.22",0,FTXIN0H:FSI
07/11/2023,"11,734.24","11,734.24","11,734.24","11,734.24",0,FTXIN0H:FSI
06/11/2023,"11,921.48","11,921.48","11,921.48","11,921.48",0,FTXIN0H:FSI
03/11/2023,"11,643.57","11,643.57","11,643.57","11,643.57",0,FTXIN0H:FSI
02/11/2023,"11,379.12","11,379.12","11,379.12","11,379.12",0,FTXIN0H:FSI
01/11/2023,"11,317.44","11,317.44","11,317.44","11,317.44",0,FTXIN0H:FSI
31/10/2023,"11,389.52","11,389.52","11,389.52","11,389.52",0,FTXIN0H:FSI
30/10/2023,"11,601.64","11,601.64","11,601.64","11,601.64",0,FTXIN0H:FSI
27/10/2023,"11,612.50","11,612.50","11,612.50","11,612.50",0,FTXIN0H:FSI
26/10/2023,"11,380.76","11,380.76","11,380.76","11,380.76",0,FTXIN0H:FSI
25/10/2023,"11,355.81","11,355.81","11,355.81","11,355.81",0,FTXIN0H:FSI
24/10/2023,"11,215.79","11,215.79","11,215.79","11,215.79",0,FTXIN0H:FSI
20/10/2023,"11,344.79","11,344.79","11,344.79","11,344.79",0,FTXIN0H:FSI
19/10/2023,"11,449.13","11,449.13","11,449.13","11,449.13",0,FTXIN0H:FSI
18/10/2023,"11,771.93","11,771.93","11,771.93","11,771.93",0,FTXIN0H:FSI
17/10/2023,"11,851.37","11,851.37","11,851.37","11,851.37",0,FTXIN0H:FSI
16/10/2023,"11,770.48","11,770.48","11,770.48","11,770.48",0,FTXIN0H:FSI
13/10/2023,"11,899.69","11,899.69","11,899.69","11,899.69",0,FTXIN0H:FSI
12/10/2023,"12,246.57","12,246.57","12,246.57","12,246.57",0,FTXIN0H:FSI
11/10/2023,"11,952.28","11,952.28","11,952.28","11,952.28",0,FTXIN0H:FSI
10/10/2023,"11,804.83","11,804.83","11,804.83","11,804.83",0,FTXIN0H:FSI
09/10/2023,"11,683.51","11,683.51","11,683.51","11,683.51",0,FTXIN0H:FSI
06/10/2023,"11,629.15","11,629.15","11,629.15","11,629.15",0,FTXIN0H:FSI
05/10/2023,"11,449.31","11,449.31","11,449.31","11,449.31",0,FTXIN0H:FSI
04/10/2023,"11,449.24","11,449.24","11,449.24","11,449.24",0,FTXIN0H:FSI
03/10/2023,"11,594.02","11,594.02","11,594.02","11,594.02",0,FTXIN0H:FSI
29/09/2023,"11,988.60","11,988.60","11,988.60","11,988.60",0,FTXIN0H:FSI
28/09/2023,"11,677.37","11,677.37","11,677.37","11,677.37",0,FTXIN0H:FSI
27/09/2023,"11,848.73","11,848.73","11,848.73","11,848.73",0,FTXIN0H:FSI
26/09/2023,"11,781.22","11,781.22","11,781.22","11,781.22",0,FTXIN0H:FSI
25/09/2023,"11,940.93","11,940.93","11,940.93","11,940.93",0,FTXIN0H:FSI
22/09/2023,"12,185.74","12,185.74","12,185.74","12,185.74",0,FTXIN0H:FSI
